"","journal","impactfactor","JCR","filed"
"315","CATENA","5.4","Q1","WATER RESOURCES"
"316","COMPUTERIZED MEDICAL IMAGING AND GRAPHICS","5.4","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"317","Journal of Cystic Fibrosis","5.4","Q1","RESPIRATORY SYSTEM"
"318","JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY","5.4","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"319","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","5.4","Q1","BIOLOGY"
"320","GLIA","5.4","Q1","NEUROSCIENCES"
"321","npj Aging and Mechanisms of Disease","5.4","Q1","GERIATRICS & GERONTOLOGY"
"322","ECOGRAPHY","5.4","Q1","ECOLOGY"
"323","DIABETES OBESITY & METABOLISM","5.4","Q1","ENDOCRINOLOGY & METABOLISM"
"324","Communications Medicine","5.4","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"325","HEADACHE","5.4","Q1","CLINICAL NEUROLOGY"
"326","JMIR mHealth and uHealth","5.4","Q1","MEDICAL INFORMATICS"
"327","Stem Cells Translational Medicine","5.4","Q1","CELL & TISSUE ENGINEERING"
"328","Current Plant Biology","5.4","Q1","PLANT SCIENCES"
"329","INFECTION","5.4","Q1","INFECTIOUS DISEASES"
"330","BIODRUGS","5.4","Q1","PHARMACOLOGY & PHARMACY"
"331","Resources Conservation & Recycling Advances","5.4","Q1","ENVIRONMENTAL SCIENCES"
"332","Environmental and Sustainability Indicators","5.4","Q1","ENVIRONMENTAL STUDIES"
"333","EXPERT OPINION ON THERAPEUTIC PATENTS","5.4","Q1","PHARMACOLOGY & PHARMACY"
"334","NEUROPSYCHOLOGY REVIEW","5.4","Q1","PSYCHOLOGY, CLINICAL"
"335","Journal of Hazardous Materials Advances","5.4","Q1","ENVIRONMENTAL SCIENCES"
"336","CURRENT ALLERGY AND ASTHMA REPORTS","5.4","Q1","IMMUNOLOGY"
"337","BRITISH JOURNAL OF GENERAL PRACTICE","5.3","Q1","PRIMARY HEALTH CARE"
"338","International Journal of Clinical and Health Psychology","5.3","Q1","PSYCHOLOGY, CLINICAL"
"339","ACADEMIC MEDICINE","5.3","Q1","HEALTH CARE SCIENCES & SERVICES"
"340","European Heart Journal-Cardiovascular Pharmacotherapy","5.3","Q1","PHARMACOLOGY & PHARMACY"
"341","TRANSPLANTATION","5.3","Q1","TRANSPLANTATION"
"342","International Journal of Pharmaceutics","5.3","Q1","PHARMACOLOGY & PHARMACY"
"343","Marine Pollution Bulletin","5.3","Q1","MARINE & FRESHWATER BIOLOGY"
"344","GeroScience","5.3","Q1","GERIATRICS & GERONTOLOGY"
"345","SCHIZOPHRENIA BULLETIN","5.3","Q1","PSYCHIATRY"
"346","PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY","5.3","Q1","PSYCHIATRY"
"347","BIOCHEMICAL PHARMACOLOGY","5.3","Q1","PHARMACOLOGY & PHARMACY"
"348","JOURNAL OF ECOLOGY","5.3","Q1","PLANT SCIENCES"
"349","SLEEP","5.3","Q1","NEUROSCIENCES"
"350","Chinese Medicine","5.3","Q1","PHARMACOLOGY & PHARMACY"
"351","EUROPEAN JOURNAL OF ENDOCRINOLOGY","5.3","Q1","ENDOCRINOLOGY & METABOLISM"
"352","Molecular Therapy Oncolytics","5.3","Q1","ONCOLOGY"
"353","Emerging Contaminants","5.3","Q1","ENVIRONMENTAL SCIENCES"
"354","Food Engineering Reviews","5.3","Q1","FOOD SCIENCE & TECHNOLOGY"
"355","MOLECULAR CANCER THERAPEUTICS","5.3","Q1","ONCOLOGY"
"356","ACTA PSYCHIATRICA SCANDINAVICA","5.3","Q1","PSYCHIATRY"
"357","Biocybernetics and Biomedical Engineering","5.3","Q1","ENGINEERING, BIOMEDICAL"
"358","Environmental Health","5.3","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"359","General Psychiatry","5.3","Q1","PSYCHIATRY"
"360","Food and Bioprocess Technology","5.3","Q1","FOOD SCIENCE & TECHNOLOGY"
"361","CELL BIOLOGY AND TOXICOLOGY","5.3","Q1","TOXICOLOGY"
"362","PLANT CELL REPORTS","5.3","Q1","PLANT SCIENCES"
"363","Cancer Cell International","5.3","Q1","ONCOLOGY"
"364","Journal of Pharmaceutical Investigation","5.3","Q1","PHARMACOLOGY & PHARMACY"
"365","JOURNAL OF FOOD ENGINEERING","5.3","Q1","FOOD SCIENCE & TECHNOLOGY"
"366","PHYSIOLOGY","5.3","Q1","PHYSIOLOGY"
"367","JCO Precision Oncology","5.3","Q1","ONCOLOGY"
"368","MECHANISMS OF AGEING AND DEVELOPMENT","5.3","Q1","GERIATRICS & GERONTOLOGY"
"369","Biologics-Targets & Therapy","5.3","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"370","FOOD REVIEWS INTERNATIONAL","5.3","Q1","NUTRITION & DIETETICS"
"371","Chemical and Biological Technologies in Agriculture","5.2","Q1","AGRICULTURE, MULTIDISCIPLINARY"
"372","IMA Fungus","5.2","Q1","MYCOLOGY"
"373","International Journal of Pharmaceutics-X","5.2","Q1","PHARMACOLOGY & PHARMACY"
"374","Communications Biology","5.2","Q1","BIOLOGY"
"375","RADIOGRAPHICS","5.2","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"376","Journal of NeuroEngineering and Rehabilitation","5.2","Q1","REHABILITATION"
"377","Psoriasis-Targets and Therapy","5.2","Q1","DERMATOLOGY"
"378","LIFE SCIENCES","5.2","Q1","PHARMACOLOGY & PHARMACY"
"379","ADDICTION","5.2","Q1","SUBSTANCE ABUSE"
"380","Revista de Psiquiatria y Salud Mental","5.2","Q1","PSYCHIATRY"
"381","CONSERVATION BIOLOGY","5.2","Q1","ENVIRONMENTAL SCIENCES"
"382","PEDOSPHERE","5.2","Q1","SOIL SCIENCE"
"383","Immunity & Ageing","5.2","Q1","IMMUNOLOGY"
"384","Vaccines","5.2","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"385","AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS","5.2","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"386","Journal of Neuroimmune Pharmacology","5.2","Q1","PHARMACOLOGY & PHARMACY"
"387","REDOX REPORT","5.2","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"388","Journal of Future Foods","5.2","Q1","FOOD SCIENCE & TECHNOLOGY"
"389","CURRENT OPINION IN RHEUMATOLOGY","5.2","Q1","RHEUMATOLOGY"
"390","EPIDEMIOLOGIC REVIEWS","5.2","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"391","Current Diabetes Reports","5.2","Q1","ENDOCRINOLOGY & METABOLISM"
"392","Limnology and Oceanography Letters","5.1","Q1","OCEANOGRAPHY"
"393","REGIONAL ANESTHESIA AND PAIN MEDICINE","5.1","Q1","ANESTHESIOLOGY"
"394","LABORATORY INVESTIGATION","5.1","Q1","PATHOLOGY"
"395","RMD Open","5.1","Q1","RHEUMATOLOGY"
"396","NEUROBIOLOGY OF DISEASE","5.1","Q1","NEUROSCIENCES"
"397","HEART","5.1","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"398","SURVEY OF OPHTHALMOLOGY","5.1","Q1","OPHTHALMOLOGY"
"399","JOURNAL OF BONE AND MINERAL RESEARCH","5.1","Q1","ENDOCRINOLOGY & METABOLISM"
"400","mBio","5.1","Q1","MICROBIOLOGY"
"401","PROSTATE CANCER AND PROSTATIC DISEASES","5.1","Q1","UROLOGY & NEPHROLOGY"
"402","BIOLOGY AND FERTILITY OF SOILS","5.1","Q1","SOIL SCIENCE"
"403","Function","5.1","Q1","PHYSIOLOGY"
"404","ISME Communications","5.1","Q1","MICROBIOLOGY"
"405","Water Biology and Security","5.1","Q1","MARINE & FRESHWATER BIOLOGY"
"406","Food & Function","5.1","Q1","FOOD SCIENCE & TECHNOLOGY"
"407","Precision Clinical Medicine","5.1","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"408","ADVANCES IN ANATOMIC PATHOLOGY","5.1","Q1","PATHOLOGY"
"409","BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY","5.1","Q1","ECOLOGY"
"410","BRITISH JOURNAL OF HAEMATOLOGY","5.1","Q1","HEMATOLOGY"
"411","American Journal of Medicine","5.1","Q1","MEDICINE, GENERAL & INTERNAL"
"412","NUTRITION RESEARCH REVIEWS","5.1","Q1","NUTRITION & DIETETICS"
"413","Substance Abuse and Rehabilitation","5.1","Q1","SUBSTANCE ABUSE"
"414","Lung Cancer-Targets and Therapy","5.1","Q1","ONCOLOGY"
"415","ANNALS OF EMERGENCY MEDICINE","5","Q1","EMERGENCY MEDICINE"
"416","Asian Journal of Social Health and Behavior","5","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"417","Journal of Clinical Anesthesia","5","Q1","ANESTHESIOLOGY"
"418","INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE","5","Q1","OPHTHALMOLOGY"
"419","Digestive Endoscopy","5","Q1","SURGERY"
"420","JOURNAL OF INFECTIOUS DISEASES","5","Q1","MICROBIOLOGY"
"421","CEPHALALGIA","5","Q1","NEUROSCIENCES"
"422","Journal of the American Heart Association","5","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"423","JOURNAL OF APPLIED ECOLOGY","5","Q1","ECOLOGY"
"424","Lancet Regional Health - Southeast Asia","5","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"425","AMERICAN JOURNAL OF EPIDEMIOLOGY","5","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"426","JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM","5","Q1","ENDOCRINOLOGY & METABOLISM"
"427","Molecular Oncology","5","Q1","ONCOLOGY"
"428","mSystems","5","Q1","MICROBIOLOGY"
"429","INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY","5","Q1","MICROBIOLOGY"
"430","JMIR Aging","5","Q1","MEDICAL INFORMATICS"
"431","AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY","5","Q1","PHYSIOLOGY"
"432","THROMBOSIS AND HAEMOSTASIS","5","Q1","PERIPHERAL VASCULAR DISEASE"
"433","JOURNAL OF LIPID RESEARCH","5","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"434","PSYCHIATRY AND CLINICAL NEUROSCIENCES","5","Q1","PSYCHIATRY"
"435","BIPOLAR DISORDERS","5","Q1","PSYCHIATRY"
"436","SEMINARS IN HEMATOLOGY","5","Q1","HEMATOLOGY"
"437","AAPS Journal","5","Q1","PHARMACOLOGY & PHARMACY"
"438","Expert Opinion on Drug Delivery","5","Q1","PHARMACOLOGY & PHARMACY"
"439","Annual Review of Vision Science","5","Q1","OPHTHALMOLOGY"
"440","BME Frontiers","5","Q1","ENGINEERING, BIOMEDICAL"
"441","Inflammation and Regeneration","5","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"442","BIOFACTORS","5","Q1","ENDOCRINOLOGY & METABOLISM"
"443","SOIL USE AND MANAGEMENT","5","Q1","SOIL SCIENCE"
"444","Progress in Biomedical Engineering","5","Q1","ENGINEERING, BIOMEDICAL"
"445","ENVIRONMENT","5","Q1","ENVIRONMENTAL STUDIES"
"446","Eurosurveillance","9.9","Q1","INFECTIOUS DISEASES"
"447","JNCI-Journal of the National Cancer Institute","9.9","Q1","ONCOLOGY"
"448","SOIL BIOLOGY & BIOCHEMISTRY","9.8","Q1","SOIL SCIENCE"
"449","Environmental Impact Assessment Review","9.8","Q1","ENVIRONMENTAL STUDIES"
"450","Global Food Security-Agriculture Policy Economics and Environment","9.8","Q1","FOOD SCIENCE & TECHNOLOGY"
"451","Journal of Physiotherapy","9.7","Q1","REHABILITATION"
"452","Journal of Sport and Health Science","9.7","Q1","SPORT SCIENCES"
"453","EBioMedicine","9.7","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"454","Radiologia Medica","9.7","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"455","Journal of Cleaner Production","9.7","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"456","BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER","9.7","Q1","ONCOLOGY"
"457","EClinicalMedicine","9.6","Q1","MEDICINE, GENERAL & INTERNAL"
"458","MOLECULAR PSYCHIATRY","9.6","Q1","PSYCHIATRY"
"459","Biological Psychiatry","9.6","Q1","PSYCHIATRY"
"460","AMERICAN JOURNAL OF PUBLIC HEALTH","9.6","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"461","CANCER TREATMENT REVIEWS","9.6","Q1","ONCOLOGY"
"462","CLINICAL NUCLEAR MEDICINE","9.6","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"463","Autism in Adulthood","9.5","Q1","REHABILITATION"
"464","PERSOONIA","9.5","Q1","MYCOLOGY"
"465","CHEST","9.5","Q1","RESPIRATORY SYSTEM"
"466","JHEP Reports","9.5","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"467","Current Obesity Reports","9.5","Q1","NUTRITION & DIETETICS"
"468","JAMA Health Forum","9.5","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"469","EXPERIMENTAL AND MOLECULAR MEDICINE","9.5","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"470","Biomarker Research","9.5","Q1","ONCOLOGY"
"471","AMERICAN JOURNAL OF KIDNEY DISEASES","9.4","Q1","UROLOGY & NEPHROLOGY"
"472","Nature Cardiovascular Research","9.4","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"473","CANADIAN MEDICAL ASSOCIATION JOURNAL","9.4","Q1","MEDICINE, GENERAL & INTERNAL"
"474","Journal of Cachexia Sarcopenia and Muscle","9.4","Q1","MEDICINE, GENERAL & INTERNAL"
"475","Plant Communications","9.4","Q1","PLANT SCIENCES"
"476","EMBO JOURNAL","9.4","Q1","CELL BIOLOGY"
"477","Acta Biomaterialia","9.4","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"478","Experimental Hematology & Oncology","9.4","Q1","ONCOLOGY"
"479","ACTA NEUROPATHOLOGICA","9.3","Q1","PATHOLOGY"
"480","SPORTS MEDICINE","9.3","Q1","SPORT SCIENCES"
"481","Energy Policy","9.3","Q1","ENVIRONMENTAL STUDIES"
"482","Journal of Integrative Plant Biology","9.3","Q1","PLANT SCIENCES"
"483","Journal of Neuroinflammation","9.3","Q1","NEUROSCIENCES"
"484","GREEN CHEMISTRY","9.3","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"485","CYTOKINE & GROWTH FACTOR REVIEWS","9.3","Q1","CELL BIOLOGY"
"486","Current Opinion in Green and Sustainable Chemistry","9.3","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"487","ANGIOGENESIS","9.2","Q1","PERIPHERAL VASCULAR DISEASE"
"488","CELLULAR & MOLECULAR BIOLOGY LETTERS","9.2","Q1","CELL BIOLOGY"
"489","AUTOIMMUNITY REVIEWS","9.2","Q1","IMMUNOLOGY"
"490","ANESTHESIOLOGY","9.1","Q1","ANESTHESIOLOGY"
"491","JOURNAL OF NUCLEAR MEDICINE","9.1","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"492","BRITISH JOURNAL OF ANAESTHESIA","9.1","Q1","ANESTHESIOLOGY"
"493","PHARMACOLOGICAL RESEARCH","9.1","Q1","PHARMACOLOGY & PHARMACY"
"494","CANCER LETTERS","9.1","Q1","ONCOLOGY"
"495","Circulation-Arrhythmia and Electrophysiology","9.1","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"496","JOURNAL OF TRAVEL MEDICINE","9.1","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"497","Annual Review of Phytopathology","9.1","Q1","PLANT SCIENCES"
"498","Current Forestry Reports","9","Q1","FORESTRY"
"499","EMBO Molecular Medicine","9","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"500","THORAX","9","Q1","RESPIRATORY SYSTEM"
"501","JOURNAL OF INTERNAL MEDICINE","9","Q1","MEDICINE, GENERAL & INTERNAL"
"502","European Respiratory Review","9","Q1","RESPIRATORY SYSTEM"
"503","Environmental Chemistry and Ecotoxicology","9","Q1","TOXICOLOGY"
"504","Cell Systems","9","Q1","CELL BIOLOGY"
"505","Renewable Energy","9","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"506","JOURNAL OF BIOMEDICAL SCIENCE","9","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"507","BMJ Evidence-Based Medicine","9","Q1","MEDICINE, GENERAL & INTERNAL"
"508","REVIEWS IN MEDICAL VIROLOGY","9","Q1","VIROLOGY"
"509","Mental Illness","9","Q1","PSYCHIATRY"
"510","AMERICAN JOURNAL OF TRANSPLANTATION","8.9","Q1","TRANSPLANTATION"
"511","IEEE TRANSACTIONS ON MEDICAL IMAGING","8.9","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"512","Current Opinion in Food Science","8.9","Q1","FOOD SCIENCE & TECHNOLOGY"
"513","Environmental Science & Technology Letters","8.9","Q1","ENVIRONMENTAL SCIENCES"
"514","BRAIN BEHAVIOR AND IMMUNITY","8.8","Q1","PSYCHIATRY"
"515","Implementation Science","8.8","Q1","HEALTH POLICY & SERVICES"
"516","Reviews in Aquaculture","8.8","Q1","FISHERIES"
"517","CRITICAL CARE","8.8","Q1","CRITICAL CARE MEDICINE"
"518","Cochrane Database of Systematic Reviews","8.8","Q1","MEDICINE, GENERAL & INTERNAL"
"519","JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","8.8","Q1","MEDICINE, GENERAL & INTERNAL"
"520","Annual Review of Animal Biosciences","8.7","Q1","ZOOLOGY"
"521","AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY","8.7","Q1","OBSTETRICS & GYNECOLOGY"
"522","JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","8.7","Q1","SURGERY"
"523","BRITISH JOURNAL OF PSYCHIATRY","8.7","Q1","PSYCHIATRY"
"524","Materials Today Bio","8.7","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"525","ARCHIVOS DE BRONCONEUMOLOGIA","8.7","Q1","RESPIRATORY SYSTEM"
"526","MOLECULAR ASPECTS OF MEDICINE","8.7","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"527","Annual Review of Genetics","8.7","Q1","GENETICS & HEREDITY"
"528","HEALTH AFFAIRS","8.6","Q1","HEALTH POLICY & SERVICES"
"529","British Journal of Surgery","8.6","Q1","SURGERY"
"530","EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING","8.6","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"531","AMERICAN JOURNAL OF CLINICAL DERMATOLOGY","8.6","Q1","DERMATOLOGY"
"532","IEEE Transactions on Sustainable Energy","8.6","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"533","REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY","8.6","Q1","ENVIRONMENTAL SCIENCES"
"534","Clinical Journal of the American Society of Nephrology","8.5","Q1","UROLOGY & NEPHROLOGY"
"535","Cardiovascular Diabetology","8.5","Q1","ENDOCRINOLOGY & METABOLISM"
"536","Food Packaging and Shelf Life","8.5","Q1","FOOD SCIENCE & TECHNOLOGY"
"537","JPAD-Journal of Prevention of Alzheimers Disease","8.5","Q1","CLINICAL NEUROLOGY"
"538","Food Chemistry","8.5","Q1","NUTRITION & DIETETICS"
"539","Molecular Systems Biology","8.5","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"540","Pneumonia","8.5","Q1","RESPIRATORY SYSTEM"
"541","Annual Review of Microbiology","8.5","Q1","MICROBIOLOGY"
"542","Emerging Microbes & Infections","8.4","Q1","MICROBIOLOGY"
"543","JACC-Basic to Translational Science","8.4","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"544","JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY","8.4","Q1","DERMATOLOGY"
"545","DIABETOLOGIA","8.4","Q1","ENDOCRINOLOGY & METABOLISM"
"546","European Journal of Preventive Cardiology","8.4","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"547","CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY","8.4","Q1","IMMUNOLOGY"
"548","BULLETIN OF THE WORLD HEALTH ORGANIZATION","8.4","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"549","Human Reproduction Open","8.3","Q1","REPRODUCTIVE BIOLOGY"
"550","JOURNAL OF PINEAL RESEARCH","8.3","Q1","PHYSIOLOGY"
"551","European Urology Oncology","8.3","Q1","UROLOGY & NEPHROLOGY"
"552","NEW PHYTOLOGIST","8.3","Q1","PLANT SCIENCES"
"553","Journal of Crohns & Colitis","8.3","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"554","DESALINATION","8.3","Q1","WATER RESOURCES"
"555","CURRENT OPINION IN PLANT BIOLOGY","8.3","Q1","PLANT SCIENCES"
"556","CLINICAL INFECTIOUS DISEASES","8.2","Q1","MICROBIOLOGY"
"557","HAEMATOLOGICA","8.2","Q1","HEMATOLOGY"
"558","International Journal of Biological Sciences","8.2","Q1","BIOCHEMISTRY & MOLECULAR BIOLOGY"
"559","Biofabrication","8.2","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"560","Science of The Total Environment","8.2","Q1","ENVIRONMENTAL SCIENCES"
"561","Journal of Allergy and Clinical Immunology-In Practice","8.2","Q1","IMMUNOLOGY"
"562","Cell Communication and Signaling","8.2","Q1","CELL BIOLOGY"
"563","ANNALS OF NEUROLOGY","8.1","Q1","NEUROSCIENCES"
"564","AMERICAN JOURNAL OF HUMAN GENETICS","8.1","Q1","GENETICS & HEREDITY"
"565","Cancer Immunology Research","8.1","Q1","ONCOLOGY"
"566","Radiology-Artificial Intelligence","8.1","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"567","Annual Review of Virology","8.1","Q1","VIROLOGY"
"568","Chemosphere","8.1","Q1","ENVIRONMENTAL SCIENCES"
"569","CURRENT BIOLOGY","8.1","Q1","CELL BIOLOGY"
"570","Materials Science & Engineering C-Materials for Biological Applications","8.1","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"571","Biomaterials Research","8.1","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"572","Cell Death & Disease","8.1","Q1","CELL BIOLOGY"
"573","Bio-Design and Manufacturing","8.1","Q1","ENGINEERING, BIOMEDICAL"
"574","CRITICAL REVIEWS IN BIOTECHNOLOGY","8.1","Q1","BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"575","AMERICAN JOURNAL OF GASTROENTEROLOGY","8","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"576","JACC-Clinical Electrophysiology","8","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"577","Science China-Life Sciences","8","Q1","BIOLOGY"
"578","Geography and Sustainability","8","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"579","AGING CELL","8","Q1","GERIATRICS & GERONTOLOGY"
"580","Obesity Reviews","8","Q1","ENDOCRINOLOGY & METABOLISM"
"581","Journal of Environmental Management","8","Q1","ENVIRONMENTAL SCIENCES"
"582","Advances in Nutrition","8","Q1","NUTRITION & DIETETICS"
"583","Energy Nexus","8","Q1","ENVIRONMENTAL SCIENCES"
"584","MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS","8","Q1","MICROBIOLOGY"
"585","Qualitative Research in Sport Exercise and Health","8","Q1","SPORT SCIENCES"
"586","VETERINARY QUARTERLY","7.9","Q1","VETERINARY SCIENCES"
"587","Alzheimers Research & Therapy","7.9","Q1","NEUROSCIENCES"
"588","JOURNAL OF AUTOIMMUNITY","7.9","Q1","IMMUNOLOGY"
"589","EUROPACE","7.9","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"590","Clinical and Translational Medicine","7.9","Q1","ONCOLOGY"
"591","Seminars in Immunopathology","7.9","Q1","PATHOLOGY"
"592","Mucosal Immunology","7.9","Q1","IMMUNOLOGY"
"593","JAMA Ophthalmology","7.8","Q1","OPHTHALMOLOGY"
"594","Neurology-Neuroimmunology & Neuroinflammation","7.8","Q1","NEUROSCIENCES"
"595","STROKE","7.8","Q1","PERIPHERAL VASCULAR DISEASE"
"596","Circulation-Heart Failure","7.8","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"597","PLOS BIOLOGY","7.8","Q1","BIOLOGY"
"598","npj Biofilms and Microbiomes","7.8","Q1","MICROBIOLOGY"
"599","Review of Environmental Economics and Policy","7.8","Q1","ENVIRONMENTAL STUDIES"
"600","Cold Spring Harbor Perspectives in Medicine","7.8","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"601","EUROPEAN JOURNAL OF EPIDEMIOLOGY","7.7","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"602","NEUROLOGY","7.7","Q1","CLINICAL NEUROLOGY"
"603","ENVIRONMENTAL RESEARCH","7.7","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"604","Conservation Letters","7.7","Q1","BIODIVERSITY CONSERVATION"
"605","CRITICAL CARE MEDICINE","7.7","Q1","CRITICAL CARE MEDICINE"
"606","Annual Review of Genomics and Human Genetics","7.7","Q1","GENETICS & HEREDITY"
"607","CANCER AND METASTASIS REVIEWS","7.7","Q1","ONCOLOGY"
"608","Lancet Regional Health-Western Pacific","7.6","Q1","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"609","Horticulture Research","7.6","Q1","PLANT SCIENCES"
"610","BIOSCIENCE","7.6","Q1","BIOLOGY"
"611","ECOLOGY LETTERS","7.6","Q1","ECOLOGY"
"612","Journal of the National Cancer Center","7.6","Q1","ONCOLOGY"
"613","EuroIntervention","7.6","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"614","Brain Stimulation","7.6","Q1","NEUROSCIENCES"
"615","EUROPEAN JOURNAL OF CANCER","7.6","Q1","ONCOLOGY"
"616","ENVIRONMENTAL POLLUTION","7.6","Q1","ENVIRONMENTAL SCIENCES"
"617","PROCEEDINGS OF THE NUTRITION SOCIETY","7.6","Q1","NUTRITION & DIETETICS"
"618","HemaSphere","7.6","Q1","HEMATOLOGY"
"619","ANNALS OF SURGERY","7.5","Q1","SURGERY"
"620","ANAESTHESIA","7.5","Q1","ANESTHESIOLOGY"
"621","INTERNATIONAL JOURNAL OF NURSING STUDIES","7.5","Q1","NURSING"
"622","BASIC RESEARCH IN CARDIOLOGY","7.5","Q1","CARDIAC & CARDIOVASCULAR SYSTEMS"
"623","GENES & DEVELOPMENT","7.5","Q1","GENETICS & HEREDITY"
"624","NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS","7.5","Q1","NEUROSCIENCES"
"625","CHINESE MEDICAL JOURNAL","7.5","Q1","MEDICINE, GENERAL & INTERNAL"
"626","Cell Reports","7.5","Q1","CELL BIOLOGY"
"627","ChemSusChem","7.5","Q1","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY"
"628","CURRENT OPINION IN PSYCHIATRY","7.5","Q1","PSYCHIATRY"
